Pokemon,Frequency,MinLevel,MaxLevel
Gyarados,101,20,59
Bergmite,105,23,56
Avalugg,60,37,59
Flamigo,44,10,50
Scyther,28,15,55
Sliggoo,50,40,50
Dratini,25,20,52
Slowpoke,37,23,56
Azumarill,30,28,50
Swalot,30,45,55
Tropius,30,20,50
Skuntank,26,40,53
Toxicroak,26,37,56
Dondozo,30,49,65
Veluza,26,25,65
Slowbro,20,37,56
Venomoth,20,31,50
Forretress,20,45,56
Gastrodon,20,30,55
Drednaw,13,22,56
Tatsugiri,20,49,65
Dragonair,10,50,54
Staraptor,10,49,53
Kilowattrel,30,28,51
Naclstack,20,31,60
Honchkrow,20,35,65
Psyduck,60,5,37
Drakloak,15,50,60
Golduck,20,33,56
Altaria,25,40,60
Mismagius,3,40,60
Vaporeon,1,35,65
Hawlucha,60,45,65
Gogoat,30,32,60
Lokix,30,24,55
Copperajah,20,40,53
Bronzong,20,33,52
Houndstone,7,42,56
