Pokemon,Frequency,MinLevel,MaxLevel
Wattrel,85,14,29
Grimer,80,19,42
Shuppet,70,16,35
Deerling,62,16,35
Sandygast,60,16,46
Kirlia,50,20,36
Tauros,15,22,50
Slowpoke,30,23,56
Marill,50,19,24
Rookidee,30,5,29
Corvisquire,27,18,38
Magnemite,30,16,34
Skiploom,30,18,27
Oinkologne,20,18,35
Spidops,25,20,55
Rotom,10,20,50
Mimikyu,16,19,50
Cyclizar,13,20,65
Wiglett,60,13,30
Crabrawler,30,10,40
Buizel,20,2,30
Nacli,37,10,28
Pincurchin,10,20,50
Pineco,60,17,35
Bounsweet,60,5,17
Lechonk,70,2,18
Pachirisu,25,18,28
Steenee,20,21,47
Komala,30,20,50
Murkrow,40,15,40
Shroodle,20,5,32
Applin,10,10,35
Dunsparce,3,15,40
Charcadet,1,13,32
Litleo,55,18,32
Pawmo,10,18,58
Chansey,1,25,55
Magikarp,40,2,39
Arrokuda,50,2,30
Barraskewda,20,26,45
Psyduck,60,5,37
Basculin,60,15,40
Tadbulb,50,12,35
Flamigo,12,24,48
Chewtle,10,10,26
Drednaw,10,22,41
Dreepy,5,20,40
Skiddo,50,14,29
Makuhita,30,10,25
Gumshoos,30,20,39
Yungoos,20,2,24
Bronzor,60,9,25
Gastly,15,2,24
Tinkatink,15,10,20
Tinkatuff,15,24,41
Tandemaus,70,7,14
Drifloon,40,14,32
Squawkabilly,12,12,25
