Pokemon,Frequency,MinLevel,MaxLevel
Sawsbuck,50,34,55
Haunter,47,25,54
Lurantis,30,34,56
Indeedee,30,40,50
Primeape,17,28,47
Ursaring,20,30,59
Grumpig,20,32,51
Gastrodon,20,30,55
Axew,33,16,42
Braviary,18,54,65
Noivern,23,48,65
Revavroom,20,40,55
Noibat,30,15,52
Tinkatuff,11,24,56
Wigglytuff,5,40,60
Fraxure,10,38,50
Lucario,3,45,65
Brambleghast,1,50,56
Lycanroc,13,34,60
Lokix,36,24,55
Wiglett,60,13,30
Kilowattrel,30,28,51
Wugtrio,20,26,53
Pincurchin,10,20,50
Naclstack,20,31,60
Gumshoos,30,20,39
Sableye,20,15,55
Salazzle,5,33,52
Umbreon,1,35,65
Glimmet,1,23,55
Floette,24,19,55
Jumpluff,20,33,50
Vespiquen,20,30,50
Chansey,1,25,55
Blissey,1,45,65
Greedent,25,24,43
Honchkrow,20,35,65
Magikarp,46,2,39
Flamigo,36,10,50
Drakloak,15,50,60
Golduck,20,33,56
Altaria,23,40,60
Whiscash,10,30,48
Mismagius,3,40,60
Hawlucha,60,45,65
Flittle,60,17,38
Gogoat,35,32,60
Drifblim,30,28,47
Pyroar,30,35,54
Rufflet,25,21,58
Vigoroth,20,22,55
Riolu,20,12,40
Houndstone,10,42,56
Pawmo,15,18,58
Mudsdale,12,30,49
Ampharos,10,42,60
Scovillain,10,30,60
Flareon,1,35,65
Gallade,1,35,65
Barraskewda,20,26,45
Copperajah,20,40,53
Frosmoth,10,42,60
