Pokemon,Frequency,MinLevel,MaxLevel
Psyduck,60,5,37
Mankey,60,15,19
Slowpoke,40,23,56
Gastly,15,2,24
Magikarp,47,2,39
Pichu,10,5,10
Igglybuff,60,5,9
Marill,57,19,24
Hoppip,60,2,8
Sunkern,60,5,12
Wooper,70,5,24
Murkrow,40,15,40
Misdreavus,60,10,40
Dunsparce,4,15,40
Stantler,20,15,40
Wingull,67,2,29
Ralts,5,5,10
Surskit,60,8,23
Masquerain,20,23,56
Slakoth,10,7,22
Makuhita,20,10,25
Azurill,60,5,8
Starly,20,7,18
Combee,40,5,25
Pachirisu,25,18,28
Buizel,20,2,30
Drifloon,40,14,32
Bonsly,30,5,12
Happiny,1,5,15
Basculin,60,15,40
Deerling,55,16,32
Fletchling,60,2,14
Fletchinder,30,17,35
Litleo,60,18,32
Flabébé,49,10,23
Floette,23,19,55
Goomy,40,15,39
Yungoos,60,2,24
Oricorio,25,5,50
Fomantis,60,16-38
Bounsweet,60,5,17
Komala,30,20,50
Skwovet,50,5,14
Rookidee,30,5,29
Corvisquire,18,38
Chewtle,10,5,9
Applin,10,10,35
Arrokuda,50,2,30
Toxel,42,10,25
Hatenna,40,16,36
Dreepy,10,20,40
Lechonk,67,2,18
Tarountula,57,2,18
Wiglett,60,13,30
Tadbulb,50,12,35
Pawmi,5,2,12
Pawmo,10,18,58
Squawkabilly,13,12,25
Flamigo,60,10,50
Shroodle,20,5,32
Fidough,50,5,12
Maschiff,40,10,29
Toedscool,6,18,34
