Pokemon,Frequency,MinLevel,MaxLevel
Nymble,50,14,22
Phanpy,30,11,22
Petilil,40,13,35
Bombirdier,30,19,50
Capsakid,30,16,26
Mankey,33,15,19
Falinks,30,13,55
Gible,15,10,29
Wiglett,60,13,30
Wattrel,76,14,29
Marill,56,19,24
Crabrawler,30,10,40
Buizel,20,2,30
Nacli,37,10,28
Larvitar,152,16,28
Yungoos,40,2,24
Salandit,60,10,40
Gumshoos,30,20,39
Makuhita,25,10,25
Sableye,20,15,55
Charcadet,1,13,32
Combee,40,5,25
Floette,23,19,60
Vespiquen,20,30,50
Happiny,1,5,15
Cyclizar,13,20,65
Pawmo,12,18,58
Pawmi,5,2,12
Swablu,70,18,32
Mudbray,60,16,34
Flittle,60,17,38
Gastly,32,2,24
Haunter,45,25,54
Rockruff,21,6,17
Drifloon,30,14,32
Skiddo,40,14,29
Misdreavus,15,10,40
Arrokuda,50,2,30
Psyduck,60,5,37
Basculin,60,15,40
Chewtle,10,10,26
Primeape,10,28,47
Bronzor,60,9,25
Hypno,20,28,45
Tinkatink,15,10,20
