Pokemon,Frequency,MinLevel,MaxLevel
Diglett,20,2,24
Dugtrio,20,26,60
Ampharos,10,42,60
Umbreon,1,35,65
Misdreavus,15,10,40
Dunsparce,5,15,40
Larvitar,75,16,28
Pupitar,10,42,58
Hariyama,10,27,43
Sableye,20,15,55
Meditite,60,20,39
Medicham,20,40,56
Altaria,20,40,56
Banette,70,37,50
Bagon,75,16,28
Shelgon,10,42,58
Drifloon,30,14,32
Drifblim,30,28,47
Mismagius,3,40,60
Gible,15,10,29
Gabite,10,32,60
Gallade,1,35,65
Deino,30,36,54
Gumshoos,30,29,39
Lycanroc,20,34,60
Mudbray,60,16,34
Mudsdale,12,30,49
Salandit,60,10,40
Salazzle,5,33,52
Toxtricity,15,30,49
Lokix,20,24,55
Naclstack,30,31,60
Glimmet,1,23,55
