Pokemon,Frequency,MinLevel,MaxLevel
Venomoth,30,31,60
Jumpluff,30,33,60
Girafarig,30,20,60
Donphan,30,25,60
Altaria,30,40,60
Talonflame,30,17,60
Dunsparce,20,15,60
Medicham,20,40,56
Lycanroc,20,34,60
Corviknight,20,18,60
Flamigo,20,24,60
Garganacl,20,31,60
Scream Tail,20,52,60
Iron Bundle,20,52,60
Braviary,15,54,65
Floette,15,19,60
Sandy Shocks,15,52,60
Slither Wing,15,52,60
Iron Moth,15,52,60
Iron Thorns,15,52,60
Raichu,10,40,60
Farigiraf,10,20,60
Great Tusk,10,52,60
Iron Treads,10,52,60
Iron Hands,10,52,60
Frosmoth,5,42,60
Volcarona,1,59,65
Sneasel,50,15,60
Weavile,37,65
Flutter Mane,3,52,60
Iron Jugulis,3,52,60
Brute Bonnet,10,52,60
Iron Jugulis,3,52,60
Roaring Moon,1,52,60
Iron Valiant,1,52,60
Hypno,30,28,60
Masquerain,30,23,60
Bellibolt,30,35,60
Camerupt,20,33,60
Bisharp,10,52,65
