Pokemon,Frequency,MinLevel,MaxLevel
Deerling,90,16,40
Snorunt,42,15,39
Sneasel,57,15,60
Sawsbuck,50,34,55
Haunter,47,25,54
Cetoddle,53,20,41
Greavard,33,22,40
Pyroar,30,35,54
Snom,42,10,40
Magneton,14,30,60
Ursaring,20,30,59
Vigoroth,20,22,55
Grumpig,20,32,51
Axew,36,16,42
Revavroom,20,40,55
Cubchoo,26,23,40
Tinkatuff,12,24,56
Fraxure,11,38,50
Larvitar,152,16,28
Bagon,152,16,28
Salandit,60,10,40
Deino,30,36,54
Gumshoos,30,20,39
Dugtrio,20,26,60
Sableye,20,15,55
Medicham,20,40,56
Lycanroc,16,34,60
Hariyama,12,27,43
Gabite,10,32,60
Dunsparce,5,15,40
Salazzle,5,33,52
Weavile,9,37,65
Umbreon,1,35,65
Mudbray,60,16,34
Flittle,60,17,38
Gogoat,35,32,60
Drifloon,33,14,32
Drifblim,26,28,47
Rufflet,25,21,58
Phanpy,26,11,22
Honchkrow,20,35,65
Greedent,20,24,43
Lokix,25,24,55
Misdreavus,30,10,40
Houndstone,10,42,56
Mudsdale,12,30,49
Donphan,20,25,60
Scovillain,10,30,60
Cyclizar,12,20,65
Flareon,1,35,65
Gallade,1,35,65
Magikarp,40,2,39
Naclstack,30,31,60
Copperajah,20,40,53
Hypno,20,28,45
Bronzong,20,33,52
Beartic,20,40,56
Froslass,2,39,60
Kirlia,50,20,36
