Pokemon,Frequency,MinLevel,MaxLevel
Cryogonal,100,30,65
Deerling,90,16,40
Snorunt,42,15,39
Sneasel,57,15,60
Sawsbuck,50,34,55
Bergmite,75,23,56
Haunter,47,25,54
Cetoddle,53,20,41
Greavard,33,22,40
Delibird,22,15,40
Snom,42,10,40
Magneton,14,30,60
Avalugg,33,37,59
Cubchoo,26,23,40
Crabominable,10,38,60
Frigibax,1,24,39
Bagon,152,16,28
Salandit,60,10,40
Arctibax,50,35,52
Deino,30,36,54
Gumshoos,30,20,39
Lycanroc,16,34,60
Hariyama,12,27,43
Gabite,10,32,60
Zweilous,10,50,64
Weavile,9,37,65
Glimmet,1,23,55
Drifloon,33,14,32
Drifblim,26,28,47
Rufflet,25,21,58
Lokix,25,24,55
Misdreavus,30,10,40
Houndstone,10,42,56
Mudsdale,12,30,49
Gallade,1,35,65
Psyduck,60,5,37
Basculin,60,15,40
Tadbulb,50,12,35
Golduck,20,33,56
Barraskewda,20,26,45
Flamigo,28,10,50
Floatzel,20,28,60
Drednaw,10,22,41
Dreepy,8,20,40
Drakloak,11,50,60
Bellibolt,5,35,51
Vaporeon,1,35,65
Naclstack,30,31,60
Copperajah,20,40,53
Bronzong,20,33,52
Snover,55,26,39
Glalie,20,42,61
Abomasnow,20,40,59
Beartic,20,40,56
Gardevoir,10,36,49
Frosmoth,10,42,60
Cetitan,10,45,60
Froslass,2,39,60
Crabrawler,2,10,40
Glaceon,1,35,65
Banette,70,37,50
Goomy,40,15,39
Hattrem,30,32,42
Whiscash,10,30,48
Mismagius,3,40,60
Klefki,20,36,50
