Pokemon,Frequency,MinLevel,MaxLevel
Scyther,33,15,55
Lurantis,30,34,56
Venomoth,20,31,50
Ursaring,20,30,59
Houndoom,20,24,60
Camerupt,20,33,55
Grumpig,20,32,51
Luxray,15,49,56
Noivern,23,48,65
Falinks,20,13,55
Spidops,23,20,55
Dratini,15,20,52
Bisharp,13,52,65
Oranguru,15,25,50
Passimian,15,25,50
Heracross,16,45,65
Noibat,30,15,52
Lucario,3,45,65
Arcanine,2,47,65
Lokix,45,24,55
Kricketune,30,14,54
Foongus,37,25,49
Amoonguss,22,51,58
Deino,30,36,54
Dugtrio,20,26,60
Shelgon,10,42,58
Gabite,10,32,60
Zweilous,10,50,64
Salazzle,5,33,52
Umbreon,1,35,65
Glimmet,1,23,55
Sunflora,30,25,47
Floette,24,19,55
Jumpluff,20,33,50
Vespiquen,20,30,50
Chansey,1,25,55
Blissey,1,45,65
Grafaiai,70,29,51
Teddiursa,60,16,28
Honchkrow,20,35,65
Mabosstiff,20,33,65
Slaking,5,52,56
Drakloak,25,50,60
Altaria,20,40,56
Mismagius,3,40,60
Vaporeon,1,35,65
Hawlucha,60,45,65
Pawniard,30,22,47
Gogoat,30,32,60
Naclstack,30,31,60
Growlithe,20,17,23
Copperajah,20,40,53
Revavroom,20,40,55
