Pokemon,Frequency,MinLevel,MaxLevel
Wooper,73,5,24
Surskit,60,8,23
Shellos,60,16,34
Sandygast,60,16,46
Lechonk,70,2,18
Tarountula,55,2,18
Larvitar,50,16,28
Zangoose,28,20,50
Deerling,62,16,40
Slowpoke,37,23,56
Shroomish,30,9,29
Stunky,30,20,38
Croagunk,35,16,41
Pawniard,40,22,47
Fletchinder,30,17,35
Litleo,42,18,32
Rookidee,30,5,29
Corvisquire,27,18,38
Mankey,33,15,19
Skiploom,26,18,27
Stantler,33,15,40
Masquerain,20,23,56
Vigoroth,20,22,55
Luxio,20,20,30
Axew,33,16,42
Oinkologne,20,18,35
Seviper,15,20,50
Slakoth,10,7,22
Pachirisu,10,18,28
Wiglett,60,13,30
Marill,57,19,24
Crabrawler,30,10,40
Buizel,20,2,30
Nacli,37,10,28
Naclstack,20,31,60
Happiny,1,5,15
Fletchling,60,2,14
Murkrow,40,15,40
Pawmo,12,18,58
Staraptor,8,49,53
Pawmi,5,2,12
Dunsparce,3,15,40
Toedscool,2,18,34
Psyduck,50,5,37
Misdreavus,37,10,40
Azurill,60,5,8
Barboach,60,16,34
Basculin,60,15,40
Flamigo,44,10,50
Goomy,50,15,39
Dreepy,13,20,40
Chewtle,26,5,26
Drednaw,10,22,41
Mudbray,37,16,34
Flittle,60,17,38
Drifloon,30,14,32
Skiddo,40,14,29
Charcadet,1,13,32
Arrokuda,50,2,30
Tadbulb,60,12,35
Shinx,60,7,12
Makuhita,30,10,25
Talonflame,30,17,60
Gumshoos,30,20,39
Klawf,30,15,65
Growlithe,20,17,23
Yungoos,20,2,24
Hariyama,15,27,43
Luxray,5,49,56
Bronzor,60,9,25
Drowzee,40,2,12
