Pokemon,Frequency,MinLevel,MaxLevel
Grafaiai,70,29,51
Fomantis,60,16,38
Shroodle,40,5,32
Venonat,40,17,25
Impidimp,40,16,36
Mimikyu,30,31,50
Venomoth,20,31,50
Morgrem,20,32,42
Oinkologne,20,18,35
Spidops,25,20,55
Zorua,22,16,31
Oranguru,15,25,50
Passimian,15,25,50
Combee,40,5,25
Sunflora,30,25,47
Dolliv,10,25,39
Pineco,60,17,35
Foongus,60,25,49
Komala,30,20,50
Greedent,30,24,43
Murkrow,20,15,40
Applin,10,10,35
Toedscool,10,18,34
Dunsparce,4,15,40
Charcadet,1,13,32
Psyduck,60,5,37
Magikarp,40,2,39
Misdreavus,60,10,40
Barboach,60,16,34
Hattrem,30,32,42
Whiscash,10,30,48
Vaporeon,1,35,65
Buizel,20,2,30
Bellibolt,5,35,51
