Pokemon,Frequency,MinLevel,MaxLevel
Growlithe,20,17,23
Gastly,15,2,24
Drowzee,40,2,12
Skiploom,40,18,27
Murkrow,50,15,40
Dunsparce,2,15,40
Stantler,40,15,40
Shroomish,30,9,29
Slakoth,10,7,22
Vigoroth,20,22,55
Makuhita,30,10,25
Gulpin,33,12,17
Spoink,20,10,30
Zangoose,5,20,50
Seviper,15,20,50
Shinx,60,7,12
Luxio,20,20,30
Pachirisu,10,18,28
Drifloon,40,14,32
Stunky,30,20,38
Bronzor,60,9,25
Happiny,1,5,15
Deerling,60,16,35
Braviary,15,54,65
Fletchinder,30,17,35
Litleo,55,18,32
Skiddo,50,14,29
Yungoos,20,2,24
Gumshoos,30,20,39
Rookidee,30,5,29
Corvisquire,27,18,38
Lechonk,80,2,18
Oinkologne,20,18,35
Tarountula,50,2,18
Nymble,60,14,22
Pawmi,5,2,12
Pawmo,10,18,58
Klawf,30,15,65
Nacli,60,10,28
Tinkatink,15,10,20
Charcadet,1,13,32
Toedscool,2,18,34
