Pokemon,Frequency,MinLevel,MaxLevel
Gumshoos,12,20,39
Hariyama,5,27,43
Dunsparce,2,15,40
Charcadet,1,13,32
Pineco,36,17,35
Shroomish,27,9,29
Foongus,36,25,49
Sawsbuck,12,34,55
Shroodle,15,5,32
Murkrow,24,15,40
Breloom,12,32,42
Greedent,12,24,43
Spidops,12,20,55
Oinkologne,10,18,35
Pikachu,6,10,30
Sudowoodo,6,20,60
Applin,6,10,35
Pachirisu,2,18,28
Tropius,2,20,50
Zorua,2,16,31
Komala,3,20,50
Leafeon,1,35,65
Mabosstiff,1,33,65
Toedscool,1,18,34
Deerling,42,16,35
Maschiff,29,10,29
Meowth,27,14,32
Persian,12,28,47
Staravia,9,22,52
Fletchinder,9,17,35
Vigoroth,6,22,55
Pawmo,4,18,58
Ditto,4,28,35
Chansey,1,25,55
Jumpluff,1,33,50
Espeon,1,35,65
Magikarp,24,2,39
Basculin,36,15,40
Goomy,20,15,39
Hatenna,20,16,36
Altaria,8,40,56
Dreepy,5,20,40
Whiscash,4,30,48
Flamigo,1,24,48
Jigglypuff,36,10,29
Voltorb,18,26,29
Dachsbun,15,26,44
Tandemaus,8,14,29
Eevee,6,11,30
Electrode,2,32,49
Dedenne,2,20,50
Sylveon,1,35,65
Bombirdier,1,19,50
Floatzel,4,28,60
Bellibolt,1,35,51
Gogoat,12,32,60
Naclstack,11,31,60
Greavard,29,22,34
